"time","speed","speed2","gyro.x","gyro.y","gyro.z","accel.x","accel.y","accel.z","rotation.x","rotation.y","vibration","mAvg.speed","mAvg.speed2","mAvg.vibration","mAvg.gyro.x","mAvg.gyro.y","mAvg.gyro.z","mAvg.accel.x","mAvg.accel.y","mAvg.accel.z","mAvg.rotation.x","mAvg.rotation.y"
1528558001830,0,0,-3.7251908396946565,0.3969465648854962,-1.4274809160305344,-0.657958984375,0.683349609375,-0.190673828125,-44.92962674581312,42.843384240554855,0,0,0,0,0,0,0,0,0,0,0,0
1528558001928,0,0,5.106870229007634,-4.534351145038168,-4.740458015267175,-0.77685546875,0.564208984375,-0.054931640625,-35.92197336937539,53.88151432837737,0,0,0,0,0,0,0,0,0,0,0,0
1528558002028,0,0,-5.580152671755725,1.6106870229007633,-0.5954198473282443,-0.742431640625,0.600830078125,-0.25048828125,-37.48120539827178,48.756152944973344,0,0,0,0,0,0,0,0,0,0,0,0
1528558002128,0,0,-3.633587786259542,0.648854961832061,-0.7938931297709924,-0.740234375,0.660400390625,-0.15869140625,-41.09916593250992,47.46218021245006,0,0,0,0,0,0,0,0,0,0,0,0
1528558002228,0,0,-4.923664122137405,1.183206106870229,-3.7251908396946565,-0.719482421875,0.649169921875,-0.0546875,-41.977028070045584,47.8401217335294,0,0,0,0,0,0,0,0,0,0,0,0
1528558002328,0,0,4.183206106870229,-4.977099236641221,-3.7404580152671754,-0.824951171875,0.562744140625,-0.1279296875,-33.983797777831036,55.024931836994384,0,0,0,0,0,0,0,0,0,0,0,0
1528558002428,0,0,-7.1603053435114505,1.9694656488549618,1.5419847328244274,-0.747802734375,0.54296875,-0.125,-35.60832237143944,53.31100959472354,0,0,0,0,0,0,0,0,0,0,0,0
1528558002529,0,0,-2,2.3740458015267176,-1.9694656488549618,-0.721923828125,0.684326171875,-0.215087890625,-42.25379824735162,45.18279933305086,0,0,0,0,0,0,0,0,0,0,0,0
1528558002628,0,0,-4.8320610687022905,1,0.3435114503816794,-0.844482421875,0.4814453125,-0.1630859375,-29.238544007254387,58.95509647205069,0,0,0,0,0,0,0,0,0,0,0,0
1528558002753,0,16.086965005678042,-10.603053435114504,5.0534351145038165,3.6259541984732824,-0.66943359375,0.691650390625,-0.220458984375,-44.4604796658165,42.681218494675825,0,0,0,0,0,0,0,0,0,0,0,0
1528558002853,0,16.086965005678042,1.8015267175572518,-1.6946564885496183,-3.648854961832061,-0.64794921875,0.66259765625,-0.112060546875,-45.21828556927538,43.95583743641059,0,0,0,0,0,0,0,0,0,0,0,0
1528558002954,0,16.086965005678042,2.618320610687023,-1.5572519083969465,-5.206106870229007,-0.720947265625,0.513916015625,-0.16796875,-34.76997582638017,53.1322010090132,0,0,0,0,0,0,0,0,0,0,0,0
1528558003054,0,16.086965005678042,-8.412213740458014,4.625954198473282,-1.251908396946565,-0.738525390625,0.6376953125,-0.265625,-39.094363850570645,46.91218523098527,0,0,0,0,0,0,0,0,0,0,0,0
1528558003158,0,16.086965005678042,-0.7175572519083969,-1.1603053435114503,-5.038167938931298,-0.688232421875,0.63916015625,-0.1181640625,-42.46803426436279,46.63684858906604,0,0,0,0,0,0,0,0,0,0,0,0
1528558003258,0,16.086965005678042,5.450381679389313,-4.748091603053435,-2.564885496183206,-0.816650390625,0.497314453125,-0.13623046875,-30.9919061698602,57.73154177814758,0,0,0,0,0,0,0,0,0,0,0,0
1528558003358,0,16.086965005678042,-12.450381679389313,6.923664122137405,1.4351145038167938,-0.690185546875,0.650634765625,-0.209228515625,-42.0552933976734,45.28099759936039,0,0,0,0,0,0,0,0,0,0,0,0
1528558003459,0,16.086965005678042,0.07633587786259542,-1.5877862595419847,-1.4732824427480915,-0.75732421875,0.638916015625,-0.040283203125,-40.1127404632645,49.791346623878745,0,0,0,0,0,0,0,0,0,0,0,0
1528558003559,0,16.086965005678042,-4.931297709923665,1.3893129770992367,0.5801526717557252,-0.79296875,0.537353515625,-0.076904296875,-33.99900414719685,55.60631016232875,0,0,0,0,0,0,0,0,0,0,0,0
1528558003659,0,16.086965005678042,-5.6183206106870225,-0.6793893129770993,2.3893129770992365,-0.709228515625,0.629150390625,-0.126953125,-41.12785064872087,47.85581927139945,0,0,0,0,0,0,0,0,0,0,0,0
1528558003759,0,16.086965005678042,-4.793893129770993,2.7480916030534353,-1.5038167938931297,-0.69384765625,0.658447265625,-0.094970703125,-43.23501075018582,46.20494531910204,0,0,0,0,0,0,0,0,0,0,0,0
1528558003860,0,16.086965005678042,0.16030534351145037,-0.8396946564885496,-2.83206106870229,-0.728271484375,0.60205078125,-0.15673828125,-38.94442238237286,49.49470638161228,0,0,0,0,0,0,0,0,0,0,0,0
1528558003960,0,16.086965005678042,-3.2519083969465647,1.916030534351145,-4.312977099236641,-0.73388671875,0.67138671875,-0.1943359375,-41.48813944511655,46.396893040526095,0,0,0,0,0,0,0,0,0,0,0,0
1528558004060,0,16.086965005678042,-1.4961832061068703,1.5419847328244274,-5.068702290076335,-0.74951171875,0.604248046875,-0.163818359375,-38.22383000446543,50.12827679452846,0,0,0,0,0,0,0,0,0,0,0,0
1528558004161,0,16.086965005678042,-5.374045801526718,3.351145038167939,-2.183206106870229,-0.789794921875,0.562744140625,-0.181640625,-34.775794174222554,53.177189674207064,0,0,0,0,0,0,0,0,0,0,0,0
1528558004261,0,0,-5.038167938931298,2.6030534351145036,0.8015267175572519,-0.750732421875,0.62158203125,-0.162841796875,-38.97808462823454,49.43948125012581,0,0,0,0,0,0,0,0,0,0,0,0
1528558004361,0,0,4.8320610687022905,-4.893129770992366,-2.33587786259542,-0.73193359375,0.5859375,-0.225830078125,-37.414217951141836,49.37258907869205,0,0,0,0,0,0,0,0,0,0,0,0
1528558004462,0,0,-1.0229007633587786,-0.0916030534351145,1.549618320610687,-0.785888671875,0.560546875,-0.16796875,-34.89621299555774,53.32866220893816,0,0,0,0,0,0,0,0,0,0,0,0
1528558004561,0,0,-9.213740458015268,2.717557251908397,4.1679389312977095,-0.698974609375,0.654541015625,-0.13037109375,-42.631264171678595,46.32384366380259,0,0,0,0,0,0,0,0,0,0,0,0
1528558004662,0,0,-0.7480916030534351,-1.9236641221374047,-1.8931297709923665,-0.67919921875,0.7021484375,-0.09521484375,-45.67314821478606,43.787376491577746,0,0,0,0,0,0,0,0,0,0,0,0
1528558004762,0,16.086965005678042,0.3435114503816794,-0.7404580152671756,-3.3282442748091605,-0.711181640625,0.578369140625,-0.14013671875,-38.586644935142566,50.077997824332044,0,0,0,0,0,0,0,0,0,0,0,0
1528558004862,0,16.086965005678042,-5.6183206106870225,3.3435114503816794,-2.4198473282442747,-0.78125,0.608154296875,-0.197265625,-37.043652471744714,50.70430848184422,0,0,0,0,0,0,0,0,0,0,0,0
1528558004962,0,16.086965005678042,-3.198473282442748,1.5725190839694656,-5.778625954198473,-0.713623046875,0.672119140625,-0.1083984375,-42.958425488198124,46.34824836540806,0,0,0,0,0,0,0,0,0,0,0,0
