"time","speed","speed2","gyro.x","gyro.y","gyro.z","accel.x","accel.y","accel.z","rotation.x","rotation.y","vibration","mAvg.speed","mAvg.speed2","mAvg.vibration","mAvg.gyro.x","mAvg.gyro.y","mAvg.gyro.z","mAvg.accel.x","mAvg.accel.y","mAvg.accel.z","mAvg.rotation.x","mAvg.rotation.y"
1528558163847,0,0,19.251908396946565,-5.122137404580153,-4.099236641221374,-0.432373046875,0.49560546875,0.7802734375,-29.05538657867781,25.06789975125857,0,0,0,0,0,0,0,0,0,0,0,0
1528558163942,0,0,11.290076335877863,-7.816793893129771,0.42748091603053434,-0.805419921875,0.55224609375,-0.929443359375,-24.181515584308727,36.68537945385072,0,0,0,0,0,0,0,0,0,0,0,0
1528558164041,0,0,-11.702290076335878,5.083969465648855,-4.923664122137405,-1.002197265625,0.61328125,-0.00830078125,-31.46311712573433,58.53367150433115,0,0,0,0,0,0,0,0,0,0,0,0
1528558164142,0,0,24.763358778625953,-12.48091603053435,0.5725190839694656,-0.602294921875,0.50439453125,0.52880859375,-32.18284045604266,39.49435420009127,0,0,0,0,0,0,0,0,0,0,0,0
1528558164265,0,16.086965005678042,9.290076335877863,-12.099236641221374,1.6793893129770991,-0.737060546875,0.59814453125,-0.705322265625,-30.38399332744795,38.554632106293674,0,0,0,0,0,0,0,0,0,0,0,0
1528558164366,0,16.086965005678042,-19.748091603053435,13.236641221374045,-10.183206106870228,-0.65869140625,0.69140625,0.29052734375,-43.842700115147814,41.29268318971752,0,0,0,0,0,0,0,0,0,0,0,0
1528558164466,0,16.086965005678042,6.091603053435114,4.916030534351145,-1.4961832061068703,-0.6181640625,0.234130859375,-0.008056640625,-20.742669547111845,69.24448672017638,0,0,0,0,0,0,0,0,0,0,0,0
1528558164566,0,16.086965005678042,-29.984732824427482,24.12213740458015,-2.4198473282442747,-0.60302734375,0.698486328125,-0.73486328125,-36.30748807000343,30.743549561893445,0,0,0,0,0,0,0,0,0,0,0,0
1528558164666,0,16.086965005678042,-3.381679389312977,-3.83206106870229,4.5038167938931295,-0.55322265625,0.520751953125,-0.68701171875,-30.55664828751711,32.68975889384421,0,0,0,0,0,0,0,0,0,0,0,0
1528558164789,0,16.086965005678042,-5.259541984732825,5.305343511450381,-1.5877862595419847,-0.760498046875,0.854736328125,0.519775390625,-42.85817239482991,37.24269872099287,0,0,0,0,0,0,0,0,0,0,0,0
1528558164890,0,16.086965005678042,14.366412213740459,-6.732824427480916,1.297709923664122,-0.888916015625,0.665283203125,-0.46044921875,-33.60632380894921,47.69183421491523,0,0,0,0,0,0,0,0,0,0,0,0
1528558164990,0,16.086965005678042,-27.389312977099237,11.022900763358779,0.8015267175572519,-0.867919921875,0.776123046875,0.043701171875,-41.76810676489677,48.150787854342916,0,0,0,0,0,0,0,0,0,0,0,0
1528558165090,0,16.086965005678042,-0.19083969465648856,-1.5114503816793894,-8.854961832061068,-0.462158203125,0.864990234375,-0.049560546875,-61.74835754010669,28.076269194266807,0,0,0,0,0,0,0,0,0,0,0,0
1528558165190,0,16.086965005678042,12.358778625954198,-6.396946564885496,-6.106870229007634,-0.92431640625,0.40234375,-0.0087890625,-23.521961826945404,66.47208843009754,0,0,0,0,0,0,0,0,0,0,0,0
1528558165291,0,16.086965005678042,-10.664122137404581,6.129770992366412,0.8778625954198473,-0.697265625,0.574462890625,-0.22607421875,-38.08632409027391,48.47887956268177,0,0,0,0,0,0,0,0,0,0,0,0
1528558165391,0,16.086965005678042,2.984732824427481,-4.290076335877862,2.198473282442748,-0.78271484375,0.5185546875,-0.1328125,-33.15142448778024,55.632080973960186,0,0,0,0,0,0,0,0,0,0,0,0
1528558165491,0,16.086965005678042,-3.4427480916030535,-4.641221374045801,0.7938931297709924,-0.6552734375,0.612548828125,-0.383544921875,-38.89523157845622,42.19790516328682,0,0,0,0,0,0,0,0,0,0,0,0
1528558165591,0,16.086965005678042,-10.404580152671755,0.9923664122137404,1.2900763358778626,-0.887451171875,0.66064453125,0.013427734375,-36.661930991764216,53.32926022127672,0,0,0,0,0,0,0,0,0,0,0,0
1528558165691,0,16.086965005678042,1.3435114503816794,16.091603053435115,1.6717557251908397,-0.764892578125,0.430419921875,1.01513671875,-18.707841057287915,34.749300766730435,0,0,0,0,0,0,0,0,0,0,0,0
1528558165792,0,16.086965005678042,-33.412213740458014,14.595419847328245,1.3893129770992367,-2,1.99993896484375,-2,-35.26356541016431,35.264801815905415,0,0,0,0,0,0,0,0,0,0,0,0
