"time","speed","speed2","gyro.x","gyro.y","gyro.z","accel.x","accel.y","accel.z","rotation.x","rotation.y","vibration","mAvg.speed","mAvg.speed2","mAvg.vibration","mAvg.gyro.x","mAvg.gyro.y","mAvg.gyro.z","mAvg.accel.x","mAvg.accel.y","mAvg.accel.z","mAvg.rotation.x","mAvg.rotation.y"
1528558080364,0,0,-3.030534351145038,0.5725190839694656,-1.2442748091603053,-0.740966796875,0.603759765625,-0.15087890625,-38.605345372885,49.97362120743668,0,0,0,0,0,0,0,0,0,0,0,0
1528558080465,0,0,-2.9770992366412212,0.5801526717557252,-0.9618320610687023,-0.740478515625,0.6005859375,-0.1435546875,-38.52865278666621,50.17439908193869,0,0,0,0,0,0,0,0,0,0,0,0
1528558080574,0,0,-3.236641221374046,0.648854961832061,-1.0687022900763359,-0.739501953125,0.609130859375,-0.155029296875,-38.87504092451014,49.636684668503854,0,0,0,0,0,0,0,0,0,0,0,0
1528558080674,0,0,-2.717557251908397,0.33587786259541985,-1.2900763358778626,-0.743408203125,0.608154296875,-0.150634765625,-38.721541284442985,49.876366131288854,0,0,0,0,0,0,0,0,0,0,0,0
1528558080775,0,0,-3.198473282442748,0.6335877862595419,-1.1297709923664123,-0.718994140625,0.596435546875,-0.151611328125,-39.065966954575565,49.43903048163519,0,0,0,0,0,0,0,0,0,0,0,0
1528558080877,0,0,-2.519083969465649,0.2824427480916031,-1.465648854961832,-0.765380859375,0.587158203125,-0.158447265625,-36.914491858464665,51.52981550566599,0,0,0,0,0,0,0,0,0,0,0,0
1528558080977,0,0,-3.381679389312977,0.9923664122137404,-0.9236641221374046,-0.736328125,0.607177734375,-0.15185546875,-38.924561544279875,49.63544613241858,0,0,0,0,0,0,0,0,0,0,0,0
1528558081077,0,0,-2.900763358778626,0.5572519083969466,-1.1297709923664123,-0.73828125,0.60595703125,-0.15380859375,-38.78239997369931,49.74224461247045,0,0,0,0,0,0,0,0,0,0,0,0
1528558081177,0,0,-2.9770992366412212,0.46564885496183206,-1.3358778625954197,-0.735595703125,0.603271484375,-0.1455078125,-38.81750985105944,49.84797529678958,0,0,0,0,0,0,0,0,0,0,0,0
1528558081286,0,0,-2.572519083969466,0.29770992366412213,-1.2595419847328244,-0.748046875,0.595703125,-0.143310546875,-38.029708724443424,50.68029313259066,0,0,0,0,0,0,0,0,0,0,0,0
1528558081387,0,0,-3.045801526717557,0.5114503816793893,-1.2366412213740459,-0.740234375,0.610107421875,-0.150634765625,-38.92626076282853,49.670131429613086,0,0,0,0,0,0,0,0,0,0,0,0
1528558081486,0,0,-2.9236641221374047,0.5648854961832062,-1.2900763358778626,-0.742919921875,0.597412109375,-0.134033203125,-38.35684548752885,50.50701729594199,0,0,0,0,0,0,0,0,0,0,0,0
1528558081586,0,0,-2.9083969465648853,0.5038167938931297,-1.282442748091603,-0.744384765625,0.598388671875,-0.14013671875,-38.30848311050139,50.45623753718174,0,0,0,0,0,0,0,0,0,0,0,0
1528558081686,0,0,-3.0763358778625953,0.5801526717557252,-1.213740458015267,-0.722412109375,0.59423828125,-0.144775390625,-38.88750851626631,49.74755023055779,0,0,0,0,0,0,0,0,0,0,0,0
1528558081786,0,0,-2.931297709923664,0.6412213740458015,-1.2748091603053435,-0.735107421875,0.6044921875,-0.159912109375,-38.782774932604674,49.61534360261257,0,0,0,0,0,0,0,0,0,0,0,0
1528558081886,0,0,-2.7938931297709924,0.4198473282442748,-1.5038167938931297,-0.738525390625,0.6005859375,-0.149658203125,-38.5556502181098,50.0339256323832,0,0,0,0,0,0,0,0,0,0,0,0
1528558081986,0,0,-2.8625954198473282,0.5419847328244275,-1.282442748091603,-0.739990234375,0.6044921875,-0.14501953125,-38.717167301913385,49.96736344935757,0,0,0,0,0,0,0,0,0,0,0,0
1528558082087,0,0,-3.053435114503817,0.5267175572519084,-1.1221374045801527,-0.74365234375,0.586669921875,-0.150146484375,-37.7147469645874,50.84302680691305,0,0,0,0,0,0,0,0,0,0,0,0
1528558082186,0,0,-3.015267175572519,0.5877862595419847,-1.3053435114503817,-0.73193359375,0.5966796875,-0.155029296875,-38.57295828851766,49.89334369426472,0,0,0,0,0,0,0,0,0,0,0,0
1528558082286,0,0,-2.763358778625954,0.3282442748091603,-1.2671755725190839,-0.744873046875,0.60302734375,-0.144775390625,-38.4741373139663,50.22007536801391,0,0,0,0,0,0,0,0,0,0,0,0
1528558082386,0,0,-3.3740458015267176,0.7404580152671756,-1.16793893129771,-0.74560546875,0.612548828125,-0.140380859375,-38.916028773780894,49.87434654777217,0,0,0,0,0,0,0,0,0,0,0,0
1528558082486,0,0,-2.3206106870229006,0.06870229007633588,-1.8091603053435115,-0.737548828125,0.604248046875,-0.151123046875,-38.750197989162366,49.81893291589074,0,0,0,0,0,0,0,0,0,0,0,0
1528558082586,0,0,-3.2900763358778624,0.916030534351145,-0.9847328244274809,-0.752685546875,0.59130859375,-0.135986328125,-37.70698778578563,51.12752532291593,0,0,0,0,0,0,0,0,0,0,0,0
1528558082687,0,0,-2.9083969465648853,0.3511450381679389,-1.1526717557251909,-0.739501953125,0.605224609375,-0.157470703125,-38.67638907554636,49.77978512727133,0,0,0,0,0,0,0,0,0,0,0,0
1528558082787,0,0,-3.1297709923664123,0.4732824427480916,-1.2442748091603053,-0.73291015625,0.607666015625,-0.171630859375,-38.91304618442508,49.25344811484834,0,0,0,0,0,0,0,0,0,0,0,0
1528558082888,0,0,-2.4732824427480917,0.5954198473282443,-1.381679389312977,-0.747314453125,0.599853515625,-0.150390625,-38.19931198704302,50.391519713883305,0,0,0,0,0,0,0,0,0,0,0,0
1528558082988,0,0,-3.6717557251908395,1,-1.0763358778625953,-0.7431640625,0.6044921875,-0.12744140625,-38.71918549666091,50.26381315969879,0,0,0,0,0,0,0,0,0,0,0,0
1528558083092,0,0,-2.786259541984733,0.44274809160305345,-1.381679389312977,-0.730712890625,0.61279296875,-0.171875,-39.22630137838558,48.944609715531946,0,0,0,0,0,0,0,0,0,0,0,0
